UNITID,INSTNM,control_label,predominant_degree_label,region_label,locale_label,dominant_program,default_rate_pct,net_price,completion_rate,PCTPELL,risk_score,risk_flag
228486,Southwestern Christian College,Private nonprofit,Associate's,Southwest,Town,Humanities,4.5,16870.0,,0.9057,0.9856789242473069,1
409032,Nouvelle Institute,Private for-profit,Certificates,Southeast,City,Trades & Applied,0.0,,0.8571,1.0,0.9816714987229166,1
377272,Nuvani Institute,Private for-profit,Certificates,Southwest,City,Trades & Applied,2.1,,0.8649,0.9355,0.9771605740700382,1
439899,Rosedale Bible College,Private nonprofit,Associate's,Great Lakes,Rural,Social Science & Public Service,0.0,8173.0,0.4706,0.3333,0.9677009633471069,1
441575,Metropolitan Learning Institute,Private nonprofit,Certificates,Mid East,City,Health,0.0,9526.0,0.8354,0.7821,0.9649919864054421,1
483841,Grace International Beauty School,Private for-profit,Certificates,Mid East,City,Trades & Applied,0.0,,0.8824,0.5528,0.9642676244058064,1
197531,Word of Life Bible Institute,Private nonprofit,Certificates,Mid East,Rural,Social Science & Public Service,0.0,11981.0,0.8657,0.386,0.962525102082259,1
192004,Jamestown Business College,Private for-profit,Associate's,Mid East,Town,Business,3.6999999999999997,19567.0,,0.6864,0.9611757225561498,1
420981,Manhattan School of Computer Technology,Private nonprofit,Certificates,Mid East,City,Humanities,0.0,11103.0,0.7195,0.7918,0.9599787523276032,1
468769,CET-Soledad,Private nonprofit,Certificates,Far West,Town,Trades & Applied,0.0,10377.0,0.8415,0.3304,0.9598791415675803,1
217040,Yeshivath Beth Moshe,Private nonprofit,Associate's,Mid East,City,STEM,0.0,6349.0,,0.3714,0.9595639820774408,1
382911,Southwest College for the Deaf,Public,Associate's,Southwest,Town,Humanities,0.0,5355.0,0.8,0.7407,0.9469801376950293,1
442523,Alaska Christian College,Private nonprofit,Associate's,Far West,Rural,Humanities,2.3,5427.0,0.1163,0.7763,0.9389789720935502,1
182704,Empire Beauty School-Laconia,Private for-profit,Certificates,New England,Town,Trades & Applied,0.0,,0.8571,0.2989,0.9336580363318848,1
